mfr	calories	protein	fat	sodium	fibre	carbo	sugars	shelf	potassium	vitamins	typecalories
N	212.12121	12.1212121	3.030303	393.93939	30.30303	15.15152	18.181818	3	848.48485	enriched	mid
K	212.12121	12.1212121	3.030303	787.87879	27.272727	21.21212	15.151515	3	969.69697	enriched	mid
K	100	8	0	280	28	16	0	3	660	enriched	low
G	146.66667	2.6666667	2.6666667	240	2	14	13.333333	1	93.33333	enriched	mid
K	110	2	0	125	1	11	14	2	30	enriched	mid
G	173.33333	4	2.6666667	280	2.666667	24	10.666667	3	133.33333	enriched	mid
R	134.32836	2.9850746	1.4925373	298.50746	5.970149	22.38806	8.955224	1	186.56716	enriched	mid
P	134.32836	4.4776119	0	313.43284	7.462687	19.40299	7.462687	3	283.58209	enriched	mid
Q	160	1.3333333	2.6666667	293.33333	0	16	16	2	46.66667	enriched	mid
G	88	4.8	1.6	232	1.6	13.6	0.8	1	84	enriched	low
G	160	1.3333333	4	280	0	17.33333	12	2	60	enriched	mid
G	220	6	4	280	4	26	14	3	210	enriched	mid
G	110	1	1	180	0	12	13	2	55	enriched	mid
R	110	2	0	280	0	22	3	1	25	enriched	mid
K	100	2	0	290	1	21	2	1	35	enriched	low
K	110	1	0	90	1	13	12	2	20	enriched	mid
G	110	1	1	180	0	12	13	2	65	enriched	mid
K	220	6	6	280	8	20	14	3	320	enriched	mid
K	110	2	0	220	1	21	3	3	30	enriched	mid
G	133.33333	2.6666667	1.3333333	186.66667	2.666667	14.66667	13.333333	3	160	enriched	mid
R	133.33333	2.6666667	0	253.33333	1.333333	24	6.666667	3	106.66667	enriched	mid
K	110	2	1	125	1	11	13	2	30	enriched	mid
K	146.66667	1.3333333	0	266.66667	1.333333	18.66667	14.666667	1	33.33333	enriched	mid
K	125	3.75	0	0	3.75	17.5	8.75	2	125	enriched	mid
P	179.10448	4.4776119	2.9850746	238.80597	7.462687	17.91045	14.925373	3	298.50746	enriched	mid
K	179.10448	4.4776119	0	358.20896	7.462687	20.89552	17.910448	3	283.58209	enriched	mid
P	146.66667	1.3333333	1.3333333	180	0	17.33333	16	2	33.33333	enriched	mid
P	113.63636	2.2727273	0	51.13636	0	12.5	17.045455	1	45.45455	enriched	mid
G	146.66667	1.3333333	1.3333333	373.33333	0	20	12	2	60	enriched	mid
P	113.63636	3.4090909	1.1363636	159.09091	3.409091	17.04545	5.681818	3	96.59091	enriched	mid
P	440	12	0	680	12	68	12	3	360	enriched	high
P	363.63636	9.0909091	9.0909091	227.27273	9.090909	39.39394	12.121212	3	303.0303	enriched	high
Q	120	1	2	220	1	12	11	2	45	enriched	mid
G	146.66667	4	1.3333333	333.33333	2	15.33333	13.333333	1	120	enriched	mid
P	82.70677	0.7518797	0	135.33835	0	10.52632	8.270677	1	26.31579	enriched	low
K	186.66667	4	1.3333333	226.66667	2.666667	26.66667	12	3	126.66667	100%	mid
G	73.33333	1.3333333	0.6666667	173.33333	0	14	2	2	26.66667	enriched	low
Q	149.25373	5.9701493	2.9850746	223.8806	2.985075	17.91045	8.955224	2	141.79104	enriched	mid
G	110	2	1	180	0	12	12	2	55	enriched	mid
K	238.80597	4.4776119	2.9850746	223.8806	4.477612	25.37313	19.402985	3	238.80597	enriched	mid
G	100	2	1	220	2	15	6	1	90	enriched	low
K	179.10448	2.9850746	1.4925373	283.58209	0	22.38806	13.432836	2	59.70149	enriched	mid
K	208.95522	4.4776119	2.9850746	328.35821	4.477612	31.34328	10.447761	3	194.02985	enriched	mid
G	260	6	4	340	3	27	20	3	240	enriched	high
P	179.10448	4.4776119	1.4925373	298.50746	8.955224	16.41791	20.895522	3	388.0597	enriched	mid
K	100	3	0	320	1	20	3	3	45	100%	low
Q	50	1	0	0	0	13	0	3	15	none	low
Q	200	8	2	270	4	28	12	3	220	enriched	mid
K	160	4	1.3333333	280	6.666667	18.66667	16	2	320	enriched	mid
G	200	6	4	280	5	21	16	3	280	enriched	mid
K	180	4	0	0	4	30	12	3	220	enriched	mid
R	97.34513	0.8849558	0	212.38938	0	20.35398	1.769912	1	26.54867	enriched	low
K	110	2	0	290	0	22	3	1	35	enriched	mid
N	134.32836	4.4776119	0	0	5.970149	28.35821	0	1	208.95522	none	mid
N	134.32836	4.4776119	0	0	4.477612	29.85075	0	1	179.10448	none	mid
K	146.66667	2.6666667	1.3333333	93.33333	1.333333	12	20	2	53.33333	enriched	mid
K	110	6	0	230	1	16	3	1	55	enriched	mid
G	110	2	1	200	0	21	3	3	35	100%	mid
G	140	3	1	190	4	15	14	3	230	100%	mid
G	100	3	1	200	3	16	3	3	110	100%	low
G	146.66667	2.6666667	1.3333333	333.33333	0	28	4	3	80	enriched	mid
G	110	1	1	140	0	13	12	2	25	enriched	mid
R	149.25373	4.4776119	1.4925373	343.28358	4.477612	25.37313	4.477612	1	171.64179	enriched	mid
G	100	3	1	200	3	17	3	1	110	enriched	low
G	146.66667	2.6666667	1.3333333	266.66667	1.333333	21.33333	10.666667	1	80	enriched	mid
