# index, label, _pos
0,Beak,"array([ 8.21045248, -3.45672466])"
1,Beescratch,"array([ 8.31572928, -3.26387872])"
2,Bumper,"array([ 8.05663873, -3.55658276])"
3,CCL,"array([ 8.31887893, -3.4687541 ])"
4,Cross,"array([ 8.47148487, -3.67453681])"
5,DN16,"array([ 8.22890192, -3.02843584])"
6,DN21,"array([ 8.31254078, -3.0861139 ])"
7,DN63,"array([ 8.27745076, -3.32183653])"
8,Double,"array([ 8.28323804, -3.48898285])"
9,Feather,"array([ 8.28556747, -3.04875133])"
10,Fish,"array([ 8.13743555, -3.50799492])"
11,Five,"array([ 8.41824076, -3.73068461])"
12,Fork,"array([ 8.04993535, -3.66928992])"
13,Gallatin,"array([ 8.25977117, -3.08447872])"
14,Grin,"array([ 8.20520824, -3.56075928])"
15,Haecksel,"array([ 8.3283713 , -3.53119182])"
16,Hook,"array([ 8.16077005, -3.54618674])"
17,Jet,"array([ 8.3551034 , -3.12946493])"
18,Jonah,"array([ 8.28323727, -3.59124363])"
19,Knit,"array([ 8.25379209, -3.26628552])"
20,Kringel,"array([ 8.1921327 , -3.49272721])"
21,MN105,"array([ 8.28340348, -3.6616461 ])"
22,MN23,"array([ 8.46136059, -3.09400665])"
23,MN60,"array([ 8.3888271 , -3.52528369])"
24,MN83,"array([ 8.31292774, -3.62384199])"
25,Mus,"array([ 8.43045343, -3.18062797])"
26,Notch,"array([ 8.42223899, -3.24958493])"
27,Number1,"array([ 8.36606733, -3.22746489])"
28,Oscar,"array([ 8.23818929, -3.38189401])"
29,Patchback,"array([ 8.2447612 , -3.63985845])"
30,PL,"array([ 8.18406142, -3.34421128])"
31,Quasi,"array([ 8.41760967, -3.03582808])"
32,Ripplefluke,"array([ 8.23838234, -2.96493095])"
33,Scabs,"array([ 8.17784603, -3.62077272])"
34,Shmuddel,"array([ 8.10674155, -3.62317026])"
35,SMN5,"array([ 8.27341692, -3.76006239])"
36,SN100,"array([ 8.28290033, -3.42136308])"
37,SN4,"array([ 8.22383221, -3.58844694])"
38,SN63,"array([ 8.10916275, -3.5767313 ])"
39,SN89,"array([ 8.20658232, -3.26602219])"
40,SN9,"array([ 8.23924167, -3.49580364])"
41,SN90,"array([ 8.29048489, -3.14660887])"
42,SN96,"array([ 8.13324969, -3.45453652])"
43,Stripes,"array([ 8.16848805, -3.67801436])"
44,Thumper,"array([ 8.07374988, -3.51490459])"
45,Topless,"array([ 8.32319692, -3.5737431 ])"
46,TR120,"array([ 8.08565095, -3.77426286])"
47,TR77,"array([ 8.15832007, -3.40963389])"
48,TR82,"array([ 8.13583506, -3.09062939])"
49,TR88,"array([ 8.02948099, -3.73057686])"
50,TR99,"array([ 8.2455719 , -3.54806684])"
51,Trigger,"array([ 8.36282537, -3.63051674])"
52,TSN103,"array([ 8.16542685, -3.58740711])"
53,TSN83,"array([ 8.15079657, -3.76247082])"
54,Upbang,"array([ 8.27121386, -3.19328515])"
55,Vau,"array([ 8.43246335, -3.58656931])"
56,Wave,"array([ 8.30973682, -2.98512438])"
57,Web,"array([ 8.23608638, -3.12746122])"
58,Whitetip,"array([ 7.97986439, -3.58373459])"
59,Zap,"array([ 8.36634865, -3.47130467])"
60,Zig,"array([ 8.21330095, -2.87141044])"
61,Zipfel,"array([ 8.11616547, -3.6743731 ])"
